data,PmGdaLeczkow,PmGdaPowWars,PmGdaWyzwole,PmGdyPorebsk,PmGdySzafran,PmSopBiPlowoc
11/11/21 9:00,28.54,33.2524,41.485,26.5185,23.0357,22.1388
11/11/21 10:00,19.7695,25.8224,32.6392,20.9733,19.8204,17.9641
11/11/21 11:00,16.0679,21.2797,33.0068,18.6042,13.4746,12.0481
11/11/21 12:00,15.6365,17.4903,13.4269,14.2678,13.1144,11.9952
11/11/21 13:00,17.0749,17.3025,12.0907,12.4615,14.42,13.871
11/11/21 14:00,20.8329,19.9758,13.9726,15.7923,13.8978,15.7273
11/11/21 15:00,19.832,20.2994,14.7517,15.1695,12.0563,18.4405
11/11/21 16:00,17.2046,24.125,13.6105,13.4436,13.9557,19.4061
11/11/21 17:00,17.9999,29.4615,20.3973,11.3136,10.7552,19.2569
11/11/21 18:00,21.0662,27.6978,26.716,9.73691,8.91158,20.9628
11/11/21 19:00,19.9593,28.8396,16.6204,10.8868,8.96662,19.0839
11/11/21 20:00,15.992,21.8437,12.5098,10.9265,9.26656,13.2904
11/11/21 21:00,13.6645,17.7054,10.6573,9.05817,8.11605,11.8934
11/11/21 22:00,10.4132,12.8848,7.94032,8.31755,7.70288,8.53282
11/11/21 23:00,8.51636,9.7571,5.63506,6.81742,6.7749,6.02764
11/12/21 0:00,6.75422,7.90016,5.09917,8.08867,7.92171,6.55607
11/12/21 1:00,9.67591,9.88526,6.97038,9.60152,9.26577,9.26094
11/12/21 2:00,9.40841,10.4576,7.00461,8.06914,7.81059,8.07374
11/12/21 3:00,8.9772,9.7661,5.65744,5.58371,6.85943,7.09041
11/12/21 4:00,6.92627,7.0948,4.38883,5.27341,6.41044,6.43033
11/12/21 5:00,6.56836,6.72657,3.87358,6.09677,6.45363,6.10774
11/12/21 6:00,7.54357,8.6116,5.36382,6.23458,6.6506,7.00329
11/12/21 7:00,10.7608,17.0655,6.28703,6.56441,7.30341,7.60984
11/12/21 8:00,18.5009,16.5039,8.91224,6.87909,9.47617,8.95745
11/12/21 9:00,15.6933,29.127,13.1519,9.3158,10.836,11.1767
11/12/21 10:00,12.6189,14.8713,8.59076,9.75842,10.5824,11.3696
11/12/21 11:00,11.8324,25.7024,7.19926,9.66581,10.2422,10.7604
11/12/21 12:00,15.2158,18.6238,9.48894,10.8326,10.0034,10.9423
11/12/21 13:00,14.9061,19.8239,8.52668,11.4247,10.2904,11.783
11/12/21 14:00,15.0062,24.9383,11.8842,10.5763,11.5078,11.0042
11/12/21 15:00,15.0374,28.8492,16.6042,11.7971,14.9946,10.7834
11/12/21 16:00,16.9066,47.7533,24.4526,20.9891,15.7733,14.762
11/12/21 17:00,25.8044,39.2823,28.2936,49.7855,20.3721,22.3912
11/12/21 18:00,51.6218,82.3669,31.3215,83.2815,43.5957,16.281
11/12/21 19:00,54.107,102.102,92.4422,29.0566,72.7662,19.6189
11/12/21 20:00,56.4713,108.065,87.9844,54.4726,81.0001,18.7401
11/12/21 21:00,76.0083,95.9942,83.0476,61.3129,58.5186,33.6002
11/12/21 22:00,97.8691,100.322,75.6275,66.864,47.0175,38.2076
11/12/21 23:00,65.4677,68.1851,50.6644,62.6169,18.315,34.2034
11/13/21 0:00,56.7992,62.5697,56.1121,63.7235,22.6715,43.3354
11/13/21 1:00,57.7373,56.3125,49.1395,49.4054,30.2787,51.2966
11/13/21 2:00,47.7998,53.5641,38.4837,48.0445,27.5606,55.19
11/13/21 3:00,39.4258,30.2181,31.8378,42.7648,23.3644,39.6312
11/13/21 4:00,26.2426,26.0491,27.4228,34.1086,21.14,28.3993
11/13/21 5:00,24.351,22.0254,24.3995,28.9142,22.8032,24.3021
11/13/21 6:00,22.9929,21.5426,27.1621,24.1085,26.7516,24.457
11/13/21 7:00,25.1083,25.3829,21.0688,28.4274,28.5907,28.6976
11/13/21 8:00,23.3973,23.5474,18.6646,28.8554,26.3127,26.5047
11/13/21 9:00,24.1246,24.5891,19.1359,25.0467,21.4189,25.4992
11/13/21 10:00,24.7256,24.068,19.3587,24.1031,22.2028,25.7748
11/13/21 11:00,23.3181,23.1268,18.1737,28.5198,22.542,24.5529
11/13/21 12:00,22.0578,24.6207,17.907,25.4127,22.775,25.892
11/13/21 13:00,21.1658,24.2648,17.9744,29.1823,26.0749,26.9352
11/13/21 14:00,28.0686,29.7869,24.8854,35.9375,28.878,27.915
11/13/21 15:00,37.4286,38.6443,30.4944,35.5581,31.5991,36.4363
11/13/21 16:00,40.0799,44.6207,31.1797,51.7057,34.7567,42.1348
11/13/21 17:00,40.5805,41.8857,30.4461,45.4947,37.335,44.0326
11/13/21 18:00,38.3538,42.5796,29.9148,45.457,39.7548,39.3924
11/13/21 19:00,38.0657,42.1249,28.5097,44.2252,39.4619,39.0391
11/13/21 20:00,38.2476,42.9939,29.0397,51.5652,38.5964,39.2463
11/13/21 21:00,39.6215,44.4642,31.1753,48.3106,38.6356,41.83
11/13/21 22:00,39.2647,42.5704,32.1738,51.5327,39.0722,42.8504
11/13/21 23:00,40.3411,43.8469,37.4852,50.2773,40.6209,41.4236
11/14/21 0:00,38.2443,40.7545,38.1605,42.3472,40.5711,39.2564
11/14/21 1:00,36.1295,36.4082,30.3807,48.4011,39.9452,42.5044
11/14/21 2:00,33.0614,34.0088,27.9181,59.1242,38.2143,40.6174
11/14/21 3:00,32.646,33.368,27.8777,41.5491,36.4049,39.5083
11/14/21 4:00,33.0121,32.8532,29.2236,36.3294,35.9067,35.6215
11/14/21 5:00,33.7222,33.153,28.4926,36.1321,35.296,33.4518
11/14/21 6:00,35.4321,34.3786,28.0715,30.9287,35.5201,33.4643
11/14/21 7:00,36.9204,33.4547,27.1356,25.6291,34.0794,29.1738
11/14/21 8:00,28.4213,32.0472,19.762,23.5435,25.1387,23.8031
11/14/21 9:00,24.8086,27.2609,19.9698,23.615,23.7328,23.8906
11/14/21 10:00,25.4594,26.38,19.7567,22.8307,24.0016,24.2905
11/14/21 11:00,25.3023,25.9703,19.1381,21.775,22.355,23.8004
11/14/21 12:00,24.1312,24.9657,18.3214,21.5419,22.2805,24.3859
11/14/21 13:00,24.5667,25.7757,19.1474,22.1544,23.2972,24.5079
11/14/21 14:00,27.1378,28.1303,20.6883,24.2012,24.3843,25.9881
11/14/21 15:00,24.5461,59.5552,18.4287,23.3717,23.5777,23.7631
